type,subject,format,question,answer
toss-up,,Short Answer,1) LIFE SCIENCE Short Answer During which phase of mitosis [my-TOH-sis] do chromosomes line up along the center of the cell nucleus?,METAPHASE
bonus,,Multiple Choice,1) LIFE SCIENCE Multiple Choice Old growth forests and ancient cypress swamps would be examples of which of the following? W) Primary successive species X) Secondary successive species Y) Climax communities Z) Commensalism,Y) CLIMAX COMMUNITIES
toss-up,,Multiple Choice,2) PHYSICAL SCIENCE Multiple Choice Which of the following kinds of solutions is a mixture in which the solvent has dissolved all the solute it can at a given temperature? W) Saturated X) Unsaturated Y) Supersaturated Z) Concentrated,W) SATURATED
bonus,,Multiple Choice,"2) PHYSICAL SCIENCE Multiple Choice When calculating the equilibrium constant for a reaction, the concentration of which of the following is generally included? W) Pure liquids X) Pure solids Y) Solvents Z) Solutes",Z) SOLUTES
toss-up,,Multiple Choice,3) GENERAL SCIENCE Multiple Choice Which of the following is a pyrimidine [py-RIM-i- deen]? W) Guanine [GWAH-neen] X) Thymine Y) Adenine [AD-n-een] Z) Xanthine [ZAN-theen],X) THYMINE
bonus,,Short Answer,"3) GENERAL SCIENCE Short Answer To a very good approximation, a golf club hitting a ball is an example of what kind of collision?",ELASTIC
toss-up,,Short Answer,4) EARTH AND SPACE Short Answer What mountain chain composes the majority of the Western Continental Divide in North America?,THE ROCKY MOUNTAINS
bonus,,Multiple Choice,4) EARTH AND SPACE Multiple Choice Which of the following is NOT a characteristic of estuaries? W) Bottom dominated by course sands X) Physical connection to the ocean Y) Physical connection with a freshwater source Z) Lower average water salinity than ocean water,W) BOTTOM DOMINATED BY COURSE SANDS
toss-up,math,Short Answer,"Nick’s car costs $450 per month for car payment and insurance, and 25 cents per mile driven. What is the total monthly cost in dollars in terms of m, the miles driven?",0.25m + 450 (ACCEPT: m/4 + 450)
bonus,math,Short Answer,A rectangular field has an area of 300 square meters and a perimeter of 80 meters. What are the dimensions of the field in meters?,30 AND 10
toss-up,energy,Short Answer,Environmentalists are most concerned about the environmental impact of hydroelectric plants on what group of organisms?,FISH
bonus,energy,Multiple Choice,Which of the following areas of the United States accounts for approximately half of the total hydroelectric power generation in the United States? W) Northeast X) Northwest Y) Southeast Z) Southwest,X) NORTHWEST
toss-up,,Multiple Choice,7) LIFE SCIENCE Multiple Choice Organisms of the same class would also share which of the following? W) Genus X) Family Y) Phylum [FY-luhm] Z) Order,Y) PHYLUM
bonus,,Multiple Choice,7) LIFE SCIENCE Multiple Choice Scientists are using genetic engineering to develop a wheat crop that is resistant to a particular kind of moth. How would they determine if the plants are moth resistant? W) Determine the length of the moth reproductive cycle in normal wheat X) Monitor moth populations in separate fields planted with control and experimental wheat crops Y) Monitor numbers of moth species infesting normal wheat Z) Determine whether moths in test wheat can be controlled with chemical sprays,"X) MONITOR MOTH POPULATIONS IN SEPARATE FIELDS PLANTED WITH
CONTROL AND EXPERIMENTAL WHEAT CROPS"
toss-up,,Short Answer,8) PHYSICAL SCIENCE Short Answer What is the name for the individual repeating units of polymers?,MONOMERS
bonus,,Short Answer,"8) PHYSICAL SCIENCE Short Answer Identify by number all of the following that are related to the origin of the name of the Large Hadron Collider (LHC) located at CERN: 1) composite particles made from quarks, 2) particle beams of protons that the LHC was built to collide, 3) lead nuclei that the LHC was built to collide, 4) a famous physicist.","1, 2 AND 3"
toss-up,,Short Answer,9) GENERAL SCIENCE Short Answer What is the term for the tendency for an object to resist change in its motion?,INERTIA
bonus,,Short Answer,"9) GENERAL SCIENCE Short Answer Identify all of the following four choices which are possible examples of fossils: 1) seeds, 2) footprints, 3) teeth, 4) cave drawings.","1, 2, 3 (ACCEPT: SEEDS, FOOTPRINTS, TEETH)"
